time,bee type,in or out
06:00:00,1,Out
06:00:35,1,Out
06:01:24,1,In
06:01:49,1,In
06:03:04,1,In
06:03:53,1,In
06:03:53,2,In
06:04:04,1,Out
06:04:04,2,In
06:05:53,1,Out
06:06:24,1,In
06:06:43,1,Out
06:06:55,1,In
06:07:28,2,In
06:07:44,1,In
06:08:24,1,In
06:08:42,1,Out
06:08:42,2,Out
06:08:56,1,In
06:09:21,1,Out
06:09:56,1,In
06:10:11,1,Out
06:11:05,1,Out
06:11:22,1,Out
06:11:57,1,In
06:13:52,1,Out
06:14:28,1,Out
06:14:36,1,Out
06:15:25,1,Out
06:15:43,1,Out
06:17:18,1,In
06:17:30,1,In
06:18:27,1,Out
06:19:24,1,Out
06:19:57,1,Out
06:21:04,1,In
06:21:15,1,Out
06:22:08,1,In
06:23:05,1,In
06:23:38,1,In
06:23:38,2,In
06:24:33,2,Out
06:25:29,1,In
06:26:55,1,Out
06:27:27,1,Out
06:27:51,1,Out
06:28:21,1,Out
06:29:12,1,Out
06:30:06,1,In
06:30:27,2,Out
06:30:33,1,Out
06:31:17,1,Out
06:32:32,1,In
06:33:10,1,In
06:33:24,1,In
06:33:29,1,Out
06:34:22,1,In
06:34:34,2,In
06:35:10,1,In
06:36:02,1,In
06:36:19,1,In
06:36:26,1,In
06:37:16,2,In
06:37:45,1,In
06:38:25,1,Out
06:39:39,1,In
06:40:39,1,In
06:40:39,2,In
06:41:46,1,Out
06:42:11,1,In
06:43:05,1,Out
06:43:58,1,Out
06:44:21,1,In
06:44:37,1,In
06:44:58,1,In
06:45:22,1,Out
06:46:35,1,Out
06:46:35,2,In
06:46:46,1,Out
06:47:28,1,Out
06:48:07,1,Out
06:48:43,1,In
06:49:40,1,Out
06:49:40,2,Out
06:50:20,1,In
06:50:44,1,Out
06:51:45,1,In
06:51:45,2,In
06:52:20,1,Out
06:53:08,1,In
06:54:04,1,Out
06:55:04,1,Out
06:55:39,1,In
06:55:39,2,Out
06:56:40,1,In
06:56:57,1,In
06:56:57,2,In
06:57:43,1,In
06:57:43,2,Out
06:58:43,1,In
06:59:22,1,Out
06:59:48,1,In
07:00:30,1,In
07:00:30,2,In
07:00:37,1,Out
07:01:07,1,Out
07:01:07,2,In
07:01:19,1,In
07:01:57,1,In
07:02:32,1,Out
07:03:16,1,Out
07:04:04,1,Out
07:04:04,2,In
07:04:58,1,Out
07:05:31,1,Out
07:06:13,1,In
07:06:48,1,In
07:07:41,1,In
07:07:48,1,In
07:08:21,1,In
07:08:30,1,Out
07:08:41,1,In
07:08:41,2,In
07:09:21,1,Out
07:09:21,2,Out
07:10:18,1,Out
07:10:46,1,Out
07:10:52,1,In
07:11:25,1,Out
07:11:58,1,In
07:12:13,1,Out
07:13:08,1,Out
07:14:06,1,Out
07:14:31,1,Out
07:15:02,1,In
07:15:20,1,In
07:15:44,1,In
07:16:32,1,Out
07:17:29,1,Out
07:18:02,1,In
07:18:46,1,In
07:18:46,2,Out
07:19:10,1,Out
07:19:40,1,In
07:20:10,1,Out
07:20:44,1,Out
07:21:00,1,In
07:21:21,1,In
07:21:48,2,Out
07:21:53,1,Out
07:22:51,1,In
07:23:00,1,In
07:23:39,1,In
07:23:47,1,Out
07:23:47,2,Out
07:24:17,1,Out
07:25:26,1,Out
07:25:37,1,In
07:25:37,2,In
07:25:44,1,In
07:26:08,1,In
07:26:30,1,Out
07:26:36,1,In
07:27:29,1,In
07:28:17,1,Out
07:29:17,1,In
07:30:16,1,In
07:30:58,1,In
07:31:57,1,In
07:32:19,1,Out
07:33:08,1,In
07:33:57,1,Out
07:33:57,2,Out
07:34:38,1,Out
07:35:27,1,In
07:35:27,2,Out
07:36:44,1,Out
07:36:55,1,Out
07:37:29,1,Out
07:37:29,2,Out
07:38:11,1,In
07:38:51,1,In
07:39:29,1,In
07:40:11,1,Out
07:40:47,1,Out
07:41:27,1,Out
07:42:04,1,Out
07:42:17,1,Out
07:42:17,2,In
07:42:56,1,In
07:43:29,1,Out
07:44:25,1,Out
07:45:14,2,In
07:45:59,1,Out
07:45:59,2,In
07:46:34,1,Out
07:47:25,1,In
07:47:41,1,In
07:47:41,2,In
07:47:58,1,Out
07:48:55,1,In
07:50:00,1,Out
07:50:30,1,In
07:51:39,1,Out
07:52:29,1,In
07:53:34,1,Out
07:54:20,1,Out
07:54:56,1,In
07:55:02,1,In
07:56:19,1,Out
