time,bee type,in or out
06:00:00,1,Out
06:00:25,1,Out
06:02:03,1,In
06:04:15,1,In
06:05:39,1,In
06:05:56,1,Out
06:07:02,1,Out
06:07:34,1,Out
06:09:11,1,Out
06:09:45,2,Out
06:10:04,1,Out
06:10:40,1,Out
06:11:29,1,In
06:12:32,1,In
06:13:19,1,Out
06:13:35,1,Out
06:13:53,1,Out
06:14:13,1,Out
06:14:44,1,Out
06:15:44,1,In
06:16:05,1,Out
06:17:02,1,In
06:17:39,1,Out
06:18:33,1,In
06:19:26,2,In
06:20:56,1,Out
06:21:08,1,Out
06:21:28,1,In
06:22:53,2,Out
06:23:31,1,Out
06:25:11,1,In
06:25:52,1,Out
06:27:33,1,In
06:27:38,1,Out
06:28:02,1,In
06:28:56,1,Out
06:28:56,2,Out
06:29:22,1,In
06:30:20,1,Out
06:31:00,1,Out
06:31:13,1,In
06:31:57,1,In
06:31:57,2,Out
06:32:38,1,Out
06:34:26,1,Out
06:35:15,1,Out
06:35:51,1,Out
06:36:10,1,In
06:36:39,1,Out
06:37:01,1,In
06:37:01,2,Out
06:38:01,1,In
06:38:27,1,Out
06:39:05,1,In
06:40:27,1,Out
06:40:59,1,Out
06:41:27,1,In
06:41:37,1,In
06:42:24,1,In
06:42:46,1,Out
06:43:02,1,Out
06:43:42,1,Out
06:44:40,1,In
06:45:25,1,In
06:45:33,1,In
06:45:33,2,In
06:46:07,1,Out
06:47:02,1,In
06:47:18,1,Out
06:48:16,2,In
06:48:52,1,Out
06:48:52,2,In
06:49:24,1,Out
06:50:15,1,Out
06:50:15,2,Out
06:50:40,1,In
06:50:40,2,In
06:51:21,1,In
06:51:51,1,In
06:52:18,1,Out
06:53:16,1,In
06:53:16,2,Out
06:53:27,1,In
06:53:40,1,In
06:53:54,1,In
06:54:28,1,In
06:55:27,1,Out
06:56:27,1,In
06:56:53,1,In
06:56:59,1,Out
06:56:59,2,Out
06:57:58,1,Out
06:58:27,1,In
06:59:11,1,In
06:59:35,1,In
06:59:41,1,In
07:00:24,1,Out
07:00:44,1,Out
07:01:26,1,Out
07:01:26,2,In
07:02:13,1,In
07:02:18,1,In
07:03:15,1,In
07:03:34,1,In
07:04:28,1,Out
07:05:16,1,Out
07:05:29,1,In
07:06:17,1,In
07:06:24,1,In
07:06:31,1,Out
07:07:27,1,In
07:07:45,1,In
07:08:33,1,Out
07:09:35,1,Out
07:09:54,1,Out
07:11:30,1,In
07:11:55,1,Out
07:12:48,1,In
07:13:48,1,In
07:13:59,1,Out
07:14:36,1,Out
07:14:56,1,In
07:15:12,1,Out
07:15:19,1,In
07:16:16,1,Out
07:17:08,1,Out
07:17:21,1,In
07:18:00,1,In
07:19:18,1,In
07:19:18,2,In
07:20:08,1,In
07:20:22,1,In
07:21:53,1,Out
07:22:27,1,In
07:23:06,1,In
07:23:39,1,Out
07:24:11,1,Out
07:24:11,2,In
07:25:11,1,In
07:25:55,1,Out
07:26:37,1,Out
07:27:35,1,In
07:28:05,1,Out
07:28:56,1,Out
07:30:39,1,Out
07:30:50,1,Out
07:31:21,1,In
07:31:49,1,Out
07:32:05,1,In
07:32:48,1,Out
07:33:10,1,Out
07:33:23,1,Out
07:34:03,1,Out
07:34:03,2,In
07:34:35,1,In
07:35:26,1,In
07:36:06,1,Out
07:36:53,1,In
07:37:11,1,Out
07:37:18,1,In
07:38:17,1,Out
07:41:24,1,Out
07:41:53,1,Out
07:42:36,1,Out
07:42:52,1,Out
07:43:32,1,Out
07:44:23,1,In
07:44:59,1,Out
07:45:18,1,Out
07:46:29,2,In
07:46:38,1,In
07:47:10,1,In
07:47:17,1,Out
07:48:17,1,In
07:49:30,2,Out
07:49:54,1,Out
07:49:54,2,In
07:50:17,1,In
07:52:06,1,Out
07:53:22,1,Out
07:54:25,1,Out
07:55:06,1,In
07:55:28,1,In
07:56:02,1,Out
07:57:20,1,In
07:57:38,1,Out
07:58:07,1,In
07:58:18,1,In
07:59:11,1,Out
08:00:49,1,In
08:01:13,1,In
08:01:13,2,Out
08:01:53,1,In
08:02:24,1,In
08:03:04,1,Out
08:03:04,2,Out
08:05:47,1,In
08:06:09,1,Out
08:06:38,1,Out
08:07:25,1,Out
08:08:10,1,Out
08:08:10,2,In
08:08:19,1,Out
08:11:59,1,Out
08:12:55,1,In
08:14:02,1,In
08:15:30,1,In
08:16:39,1,Out
08:16:39,2,In
08:17:05,1,In
08:17:37,1,Out
08:17:37,2,In
08:20:15,1,Out
08:21:51,1,In
08:22:35,1,In
08:23:13,1,Out
08:24:26,1,Out
08:25:14,1,Out
08:25:49,1,In
08:27:02,1,In
08:27:16,1,In
08:27:16,2,In
08:28:53,1,In
08:28:58,1,In
08:30:09,1,In
08:30:49,1,Out
08:33:34,1,Out
08:34:22,1,In
08:34:22,2,In
08:34:55,1,Out
08:36:46,2,Out
08:38:21,2,In
08:39:45,1,Out
08:40:05,1,Out
08:40:05,2,Out
08:42:17,2,In
08:42:51,1,In
08:46:45,1,Out
08:48:08,1,In
08:49:04,1,In
08:49:11,1,Out
08:50:04,1,In
08:50:04,2,In
08:52:22,1,Out
08:53:36,1,Out
08:56:31,1,In
08:58:00,1,In
08:58:46,2,Out
09:00:28,2,Out
09:00:54,1,Out
09:01:53,1,In
09:02:24,1,In
09:03:15,1,Out
09:07:16,1,In
09:07:49,1,Out
09:08:24,1,Out
09:09:22,1,Out
09:10:46,1,Out
09:11:24,2,In
09:15:04,2,Out
09:15:56,2,Out
09:18:21,1,In
09:21:43,1,Out
09:22:25,1,In
09:23:18,1,Out
09:23:54,2,Out
09:24:30,2,Out
09:26:33,2,In
09:28:27,1,Out
09:29:09,1,In
09:30:01,1,Out
09:31:02,1,In
09:32:08,1,In
09:33:21,1,Out
09:34:13,2,Out
09:34:45,1,Out
09:35:31,1,Out
09:36:29,1,In
09:36:51,1,Out
09:38:16,2,Out
09:38:53,2,In
09:40:29,1,Out
09:41:22,1,Out
09:41:43,1,Out
09:41:54,1,Out
09:41:54,2,Out
09:42:42,1,In
09:42:42,2,In
09:42:48,1,Out
09:42:48,2,Out
09:44:08,1,In
09:44:26,2,In
09:44:37,1,Out
09:45:12,1,In
09:45:23,1,Out
09:47:10,2,In
09:47:46,1,Out
09:50:39,2,In
09:51:34,1,In
09:51:34,2,Out
09:52:50,1,Out
09:53:42,1,In
09:53:42,2,Out
09:54:22,1,In
09:54:32,1,Out
09:54:41,1,In
09:54:57,1,In
09:55:18,1,Out
09:55:28,2,In
09:56:24,1,Out
09:57:31,1,Out
09:57:31,2,In
09:58:30,1,Out
09:58:56,1,Out
09:59:42,1,In
10:01:42,1,In
10:01:54,1,Out
10:01:54,2,Out
10:02:29,1,In
10:03:44,1,Out
10:03:57,1,Out
10:08:10,1,Out
10:08:10,2,In
10:09:58,1,In
10:09:58,2,In
10:10:23,2,Out
10:11:12,1,Out
10:11:33,1,In
10:12:19,2,Out
10:12:41,1,In
10:14:13,1,In
10:15:01,1,In
10:15:01,2,In
10:15:46,2,In
10:15:52,1,In
10:15:52,2,In
10:17:08,1,In
10:17:08,2,In
10:18:05,1,In
10:18:05,2,Out
10:18:11,1,Out
10:18:11,2,Out
10:18:16,1,Out
10:19:15,1,In
10:19:49,1,In
10:20:40,1,In
10:20:40,2,In
10:20:55,1,Out
10:21:49,2,Out
10:22:24,1,Out
10:23:06,1,In
10:23:18,1,Out
10:23:29,2,In
10:24:49,1,In
10:25:18,1,In
10:25:54,1,In
10:26:37,1,In
10:26:37,2,In
10:27:04,1,Out
10:27:04,2,In
10:27:57,1,In
10:28:39,1,In
10:29:30,1,Out
10:30:18,1,Out
10:31:33,1,Out
10:31:33,2,Out
10:32:37,1,In
10:32:52,1,In
10:33:07,1,Out
10:33:07,2,Out
10:33:28,1,Out
10:33:28,2,Out
10:33:33,1,Out
10:34:03,1,In
10:34:20,1,Out
10:34:42,1,In
10:34:42,2,Out
