time,bee type,in or out
6:00:00,1,Out
6:00:39,1,Out
6:01:31,1,In
6:02:01,2,In
6:03:50,1,Out
6:04:49,1,In
6:05:16,1,In
6:05:25,1,Out
6:05:25,2,Out
6:05:35,1,Out
6:06:58,1,In
6:07:47,1,Out
6:08:11,1,In
6:08:55,1,Out
6:09:03,1,Out
6:10:49,1,Out
6:11:56,1,Out
6:12:56,1,In
6:13:26,1,In
6:14:03,1,Out
6:14:03,2,Out
6:14:29,1,In
6:14:55,1,Out
6:15:12,1,Out
6:15:18,1,In
6:15:34,1,In
6:16:22,1,Out
6:16:22,2,Out
6:17:00,1,Out
6:17:29,1,In
6:17:50,1,In
6:18:32,1,Out
6:19:15,1,In
6:20:00,1,In
6:20:58,1,In
6:21:08,1,Out
6:21:39,1,Out
6:22:18,1,Out
6:22:53,1,Out
6:23:39,1,In
6:24:17,2,Out
6:24:54,1,Out
6:25:18,1,In
6:26:09,1,In
6:26:31,1,In
6:27:01,1,Out
6:28:40,1,In
6:28:40,2,In
6:29:43,1,In
6:30:55,1,In
6:31:03,1,In
6:31:16,1,In
6:31:50,1,Out
6:32:43,1,Out
6:33:42,1,In
6:34:42,1,In
6:34:42,2,In
6:35:05,1,In
6:35:42,1,In
6:36:20,1,In
6:37:14,1,In
6:37:27,1,Out
6:37:27,2,In
6:37:45,1,In
6:38:25,1,In
6:39:07,1,In
6:39:26,1,Out
6:39:54,1,In
6:40:37,1,Out
6:41:24,1,In
6:41:24,2,Out
6:42:19,1,In
6:43:10,1,Out
6:43:10,2,In
6:43:21,1,In
6:43:39,1,Out
6:43:55,1,Out
6:44:39,1,Out
6:45:10,1,Out
6:45:36,1,In
6:46:30,1,In
6:46:30,2,Out
6:46:58,1,In
6:47:53,1,Out
6:48:35,1,In
6:48:50,1,Out
6:49:33,1,Out
6:50:03,1,In
6:51:02,1,In
6:51:47,1,In
6:52:23,1,Out
6:53:56,1,Out
6:54:46,1,In
6:55:13,1,In
6:55:24,1,Out
6:55:57,1,In
6:56:55,1,Out
6:57:51,1,Out
