time,bee type,in or out
06:00:06,1,In
06:01:09,1,In
06:01:51,1,Out
06:02:45,1,Out
06:03:50,1,Out
06:05:01,1,Out
06:05:47,1,In
06:06:47,1,Out
06:07:30,1,Out
06:07:48,1,In
06:09:23,1,Out
06:10:10,1,Out
06:10:46,1,In
06:11:19,1,Out
06:11:51,1,In
06:12:18,1,In
06:12:54,1,Out
06:13:52,1,Out
06:14:32,1,In
06:15:07,1,Out
06:15:51,1,In
06:16:34,1,In
06:16:50,1,Out
06:17:04,1,Out
06:17:31,1,In
06:17:50,1,In
06:18:43,1,In
06:19:54,1,Out
06:20:20,1,Out
06:21:11,1,In
06:21:31,1,In
06:22:30,1,Out
06:22:30,2,In
06:23:07,1,Out
06:23:48,1,Out
06:24:42,1,In
06:24:42,2,In
06:25:33,1,Out
06:25:33,2,In
06:26:25,1,Out
06:27:21,1,In
06:28:42,1,Out
06:31:02,1,In
06:31:13,1,Out
06:32:02,1,Out
06:32:02,2,Out
06:32:58,1,In
06:33:36,1,In
06:34:32,1,In
06:35:23,1,In
06:35:32,1,Out
06:35:32,2,In
06:35:51,1,In
06:36:10,1,Out
06:36:19,1,Out
06:36:31,1,In
06:36:55,1,Out
06:37:16,1,In
06:37:53,1,Out
06:38:29,1,In
06:39:36,1,In
06:40:01,1,Out
06:40:56,1,Out
06:41:24,1,In
06:42:06,1,In
06:42:11,1,In
06:43:07,1,Out
06:43:07,2,In
06:43:14,1,In
06:43:48,1,In
06:44:20,1,In
06:45:15,1,Out
06:45:15,2,In
06:45:56,1,In
06:46:03,1,In
06:46:20,1,Out
06:46:20,2,In
06:46:51,1,In
06:47:03,1,In
06:47:09,1,In
06:47:19,1,Out
06:47:52,1,Out
06:48:10,1,Out
06:48:50,1,Out
06:49:07,1,Out
06:50:22,1,Out
06:51:04,1,Out
06:51:49,1,Out
06:52:29,1,In
06:53:16,1,Out
06:53:24,1,In
06:53:46,1,Out
06:53:53,1,In
06:54:26,1,Out
06:54:56,1,In
06:55:15,1,In
06:55:26,1,In
06:55:40,1,In
06:55:50,1,Out
06:57:04,1,Out
06:57:30,1,In
06:57:38,1,Out
06:57:38,2,Out
06:57:47,1,Out
06:58:24,1,Out
06:58:32,1,Out
06:58:56,1,Out
06:59:33,1,Out
07:00:19,1,Out
07:00:56,1,In
07:01:49,1,Out
07:02:39,1,In
07:03:32,1,In
07:03:54,1,In
07:04:34,1,In
07:04:34,2,In
07:05:00,1,Out
07:05:21,1,Out
07:05:27,1,In
07:06:23,1,In
07:07:00,1,In
07:07:00,2,Out
07:07:24,1,In
07:07:29,1,Out
07:08:02,1,In
07:09:34,1,In
07:09:34,2,Out
07:09:50,1,In
07:11:03,1,Out
07:11:44,1,Out
07:12:43,1,In
07:13:16,1,In
07:13:52,1,Out
07:14:14,1,Out
07:14:46,1,Out
07:15:43,1,Out
07:15:59,1,In
07:16:06,1,In
07:16:27,1,In
07:17:23,1,Out
07:17:34,1,In
07:18:32,1,Out
07:19:50,1,In
07:19:58,1,In
07:20:34,1,Out
07:20:34,2,Out
07:21:05,1,In
07:21:05,2,In
07:22:05,1,In
07:23:08,1,In
07:23:50,1,Out
07:24:07,1,Out
07:24:38,1,Out
07:25:15,1,In
07:26:47,1,In
07:27:16,1,In
07:27:16,2,In
07:28:01,1,In
07:28:51,1,Out
07:29:03,1,In
07:29:03,2,In
07:29:55,1,Out
07:30:17,1,Out
07:31:07,1,Out
07:32:02,1,In
07:32:38,1,In
07:33:55,1,Out
07:34:40,1,In
07:34:47,1,In
07:35:09,1,In
07:35:47,2,Out
07:36:32,1,In
07:37:14,1,Out
07:37:38,1,In
07:38:35,1,Out
07:39:02,1,Out
07:39:51,1,Out
07:40:12,1,In
07:40:22,1,Out
07:40:58,1,In
07:41:15,1,In
07:43:01,1,Out
07:43:01,2,In
07:43:07,1,Out
07:43:57,1,Out
07:45:09,1,Out
07:45:52,1,Out
07:47:21,1,Out
07:47:53,1,Out
07:49:37,1,Out
07:50:21,2,Out
07:50:34,1,Out
07:51:17,1,In
07:52:01,1,In
07:53:18,1,Out
07:54:50,1,In
07:55:37,1,Out
07:58:30,1,In
07:58:38,1,Out
07:58:38,2,Out
07:58:58,1,In
07:58:58,2,Out
07:59:07,1,In
08:00:56,1,Out
08:01:38,1,Out
08:02:57,2,In
08:03:42,1,Out
08:03:42,2,Out
08:04:14,1,Out
08:06:19,1,Out
08:07:11,1,In
08:07:30,2,Out
08:09:17,1,Out
08:09:50,1,In
08:10:11,1,In
08:11:44,1,In
08:11:44,2,In
08:12:28,1,In
08:14:42,1,Out
08:15:33,1,In
08:15:45,1,Out
08:17:01,1,In
08:18:20,1,Out
08:18:39,2,In
08:19:54,1,In
08:20:39,1,In
08:20:39,2,In
08:20:59,1,In
08:21:47,1,Out
08:22:00,1,In
08:22:21,2,In
08:23:48,1,Out
08:24:18,2,In
08:24:53,1,Out
08:27:13,1,Out
08:27:13,2,Out
08:27:40,1,In
08:28:00,1,Out
08:28:29,1,In
08:28:55,1,In
08:30:13,1,In
08:30:58,1,Out
08:31:29,1,In
08:33:17,1,In
08:34:40,1,Out
08:35:36,1,Out
08:35:59,1,Out
08:36:35,1,Out
08:38:01,1,Out
08:38:50,1,In
08:39:37,1,In
08:39:42,1,Out
08:40:26,1,Out
08:41:24,1,In
08:42:44,1,In
08:43:40,1,In
08:44:21,1,Out
08:46:08,1,In
08:47:25,1,In
08:48:06,2,Out
08:49:01,1,Out
08:49:28,1,In
08:50:11,1,In
08:51:53,1,In
08:52:50,2,Out
08:54:36,1,In
08:56:08,1,Out
08:58:24,2,Out
09:00:00,1,Out
09:00:53,1,Out
09:01:32,1,In
09:03:44,2,In
09:04:08,1,In
09:05:01,2,In
09:06:31,1,In
09:06:31,2,In
09:09:11,1,Out
09:11:23,1,Out
09:11:47,1,Out
09:13:17,1,In
09:14:31,1,In
09:17:02,2,Out
09:17:17,1,In
09:19:30,1,Out
09:21:38,1,Out
09:22:29,1,Out
09:22:54,1,Out
09:23:36,1,In
09:24:18,2,Out
09:26:28,1,Out
09:28:21,1,Out
09:29:07,1,In
09:29:07,2,Out
09:30:05,1,Out
09:30:41,1,In
09:30:46,1,In
09:33:36,1,Out
09:36:00,2,Out
09:36:34,1,Out
09:37:33,2,In
09:37:47,1,Out
09:38:24,1,In
09:39:21,1,In
09:39:42,1,Out
09:39:42,2,Out
09:40:28,1,In
09:41:23,1,Out
09:41:55,1,Out
09:41:55,2,Out
09:42:52,1,In
09:43:41,1,Out
09:44:23,1,Out
09:44:23,2,In
09:44:44,1,In
09:45:24,1,In
09:46:29,2,Out
09:47:20,1,Out
09:49:08,1,Out
09:49:24,1,In
09:50:40,1,In
09:51:31,1,In
09:52:17,1,Out
09:52:35,1,In
09:53:34,1,Out
09:54:10,2,Out
09:55:32,1,Out
09:55:32,2,Out
09:55:42,1,In
09:56:30,1,In
09:56:30,2,In
09:58:35,1,In
09:59:08,1,In
09:59:28,1,In
10:01:54,1,Out
10:02:15,1,Out
10:02:15,2,In
10:03:00,1,In
10:03:14,1,In
10:03:49,1,In
10:04:49,1,In
10:05:35,1,Out
10:05:57,1,Out
10:05:57,2,In
10:06:19,2,In
10:06:52,1,In
10:07:48,2,Out
10:09:15,2,In
10:09:26,1,Out
10:09:26,2,In
10:10:21,1,In
10:11:32,1,Out
10:11:32,2,Out
10:12:30,2,Out
10:12:54,1,Out
10:13:51,2,Out
10:14:29,1,Out
10:15:08,1,In
10:15:37,1,In
10:15:37,2,In
10:15:45,1,In
10:15:45,2,Out
10:16:03,1,Out
10:16:03,2,In
10:17:01,1,Out
10:17:27,1,Out
10:17:55,1,In
10:18:54,1,In
10:20:25,1,In
10:20:34,1,Out
10:21:22,1,Out
10:22:13,1,In
10:22:13,2,Out
10:23:02,1,Out
10:23:48,1,Out
10:24:09,2,Out
10:25:09,1,In
10:26:09,1,In
10:26:51,1,Out
10:26:58,1,Out
10:27:17,1,Out
10:27:22,1,In
10:28:12,1,In
10:28:12,2,In
10:28:51,1,In
10:28:51,2,Out
10:29:24,1,In
10:29:47,1,In
10:30:40,1,In
10:31:22,1,In
10:32:06,1,Out
10:32:06,2,Out
10:32:19,1,Out
10:33:19,1,In
10:33:19,2,In
10:33:48,1,Out
10:34:29,1,Out
10:34:29,2,Out
10:35:27,1,In
10:35:34,1,In
10:35:42,1,Out
10:36:04,1,Out
10:36:04,2,Out
10:36:48,1,Out
10:37:47,1,In
10:37:47,2,In
10:38:42,1,Out
10:39:07,1,In
10:39:54,1,In
10:40:23,1,Out
10:41:02,1,In
10:41:56,1,In
10:42:05,1,Out
10:42:41,1,Out
10:43:10,1,Out
10:43:43,1,Out
10:44:10,1,In
