time,bee type,in or out
06:00:00,1,Out
06:01:15,1,Out
06:02:47,1,Out
06:02:54,1,In
06:03:26,1,In
06:04:20,1,In
06:05:59,1,In
06:06:39,1,Out
06:06:59,1,Out
06:07:25,1,In
06:09:31,2,In
06:11:19,1,In
06:11:37,1,Out
06:12:10,2,Out
06:12:47,1,In
06:13:26,1,Out
06:13:34,1,In
06:14:16,1,Out
06:14:33,1,Out
06:15:20,1,In
06:15:58,1,Out
06:16:53,1,Out
06:17:49,1,Out
06:18:39,1,In
06:19:03,1,In
06:19:25,1,In
06:19:42,1,In
06:19:52,1,In
06:19:52,2,In
06:20:38,1,Out
06:21:13,1,Out
06:21:43,1,Out
06:23:11,1,In
06:23:30,1,Out
06:24:17,1,In
06:25:56,1,Out
06:26:42,1,In
06:27:41,1,Out
06:29:39,1,Out
06:29:50,1,In
06:30:35,1,In
06:31:07,1,In
06:32:02,1,Out
06:33:33,1,In
06:33:51,1,In
06:34:08,1,Out
06:34:58,1,Out
06:35:44,1,In
06:36:19,1,Out
06:36:30,1,In
06:37:17,1,In
06:37:40,1,Out
06:37:40,2,Out
06:38:07,1,Out
06:39:02,1,Out
06:39:31,1,In
06:39:59,1,Out
06:40:18,1,Out
06:40:59,2,Out
06:41:48,1,In
06:42:47,1,In
06:43:30,1,Out
06:44:22,1,Out
06:45:02,1,Out
06:45:36,1,In
06:45:41,1,In
06:45:48,1,In
06:46:07,1,Out
06:46:27,1,In
06:46:52,1,In
06:47:40,1,In
06:47:48,1,Out
06:49:20,1,In
06:50:13,1,Out
06:51:06,1,Out
06:51:46,1,Out
06:52:59,1,Out
06:53:53,1,Out
06:54:48,1,In
06:55:33,1,Out
06:55:33,2,Out
06:55:45,1,Out
06:56:24,1,Out
06:57:18,1,In
06:58:51,1,Out
06:59:12,1,Out
06:59:19,1,Out
06:59:53,1,In
06:59:58,1,Out
07:00:34,1,Out
07:01:05,1,Out
07:01:50,1,Out
07:02:43,1,In
07:03:17,1,Out
07:03:42,1,In
07:04:34,1,Out
07:05:10,1,In
07:05:10,2,In
07:05:44,1,Out
07:06:10,1,Out
07:06:59,1,In
07:06:59,2,Out
07:07:04,1,Out
07:07:17,1,Out
07:07:38,1,Out
07:08:38,1,In
07:09:01,1,Out
07:09:43,1,In
07:10:34,1,Out
07:11:07,1,In
07:11:07,2,Out
07:11:58,1,In
07:12:30,1,Out
07:13:16,1,Out
07:13:23,1,Out
07:14:22,1,In
07:14:35,1,Out
07:16:04,1,Out
07:16:27,1,In
07:17:04,1,In
07:17:20,1,In
07:18:34,1,Out
07:19:22,1,Out
07:19:36,1,In
07:19:50,1,In
07:20:21,1,Out
07:21:20,1,Out
07:21:35,1,Out
07:21:51,1,In
07:22:20,1,Out
07:22:29,1,In
07:22:53,1,Out
07:24:51,1,In
07:24:51,2,Out
07:25:24,1,In
07:26:18,1,Out
07:26:18,2,Out
07:27:07,1,Out
07:27:07,2,In
07:28:13,1,In
07:28:54,1,Out
07:30:11,1,Out
07:30:52,1,In
07:30:52,2,In
07:31:49,1,In
07:32:36,1,Out
07:32:42,1,Out
07:33:19,1,In
07:33:47,1,In
07:34:02,1,In
07:34:58,1,Out
07:35:43,1,Out
07:36:03,1,Out
07:36:18,2,Out
07:37:06,1,In
07:37:54,1,Out
07:38:51,1,Out
07:39:23,1,In
07:40:12,1,In
07:40:12,2,Out
07:40:33,1,Out
07:41:23,1,Out
07:41:30,1,In
07:41:48,1,In
07:42:06,1,Out
07:42:46,1,Out
07:44:06,1,In
07:44:53,1,In
07:45:28,1,Out
07:45:34,1,In
07:46:21,1,In
07:46:52,1,Out
07:47:30,2,Out
07:48:05,1,In
07:48:14,1,In
07:48:48,1,In
07:49:38,1,In
07:49:43,1,In
07:50:17,1,In
07:52:05,1,In
07:52:54,1,Out
07:53:32,1,In
07:54:49,1,Out
07:54:54,1,Out
07:56:34,1,In
07:57:42,1,Out
07:57:58,2,Out
07:58:57,1,In
07:59:40,1,In
07:59:40,2,In
08:00:36,1,In
08:03:26,1,Out
08:04:13,1,In
08:04:34,1,In
08:04:44,1,Out
08:07:47,1,Out
08:09:22,2,Out
08:09:33,1,Out
08:10:06,1,In
08:12:20,2,Out
08:14:34,2,In
08:15:34,1,Out
08:15:34,2,Out
08:16:04,1,Out
08:17:40,1,Out
08:19:56,2,In
08:20:38,1,In
08:21:15,1,Out
08:24:00,1,Out
08:24:10,2,Out
08:25:59,1,In
08:26:38,1,In
08:26:38,2,Out
08:27:36,1,In
08:27:41,1,Out
08:30:36,1,In
08:31:43,1,In
08:33:22,1,In
08:33:22,2,In
08:33:50,2,Out
08:35:03,1,Out
08:35:15,1,Out
08:36:46,2,Out
08:37:34,1,Out
08:38:30,2,In
08:39:44,2,In
08:40:20,1,Out
08:40:36,2,Out
08:42:39,1,Out
08:44:13,1,Out
08:45:03,1,In
08:46:04,1,In
08:46:35,2,In
08:47:53,1,In
08:47:53,2,In
08:51:51,1,In
08:52:32,2,Out
08:54:32,1,In
08:56:24,1,In
08:59:14,2,Out
08:59:29,1,Out
09:00:25,1,Out
09:00:42,1,Out
09:01:37,1,In
09:01:37,2,Out
09:04:53,1,In
09:05:34,1,Out
09:06:12,1,In
09:08:10,1,Out
09:08:27,1,Out
09:08:27,2,In
09:08:33,2,In
09:09:14,2,Out
09:10:05,1,Out
09:12:35,1,Out
09:12:52,1,Out
09:14:13,1,Out
09:14:13,2,Out
09:14:39,1,In
09:14:39,2,In
09:15:41,1,In
09:15:41,2,Out
09:15:53,1,Out
09:16:43,1,Out
09:19:10,1,Out
09:19:33,2,In
09:21:29,1,In
09:22:15,1,Out
09:25:10,1,Out
09:25:24,1,Out
09:26:05,1,Out
09:26:18,1,In
09:26:18,2,Out
09:31:38,1,In
09:32:02,1,Out
09:32:02,2,Out
09:33:46,1,Out
09:33:46,2,In
09:34:19,1,Out
09:34:41,1,Out
09:35:07,1,In
09:35:41,1,Out
09:35:41,2,In
09:36:37,1,Out
09:37:26,1,In
09:38:10,1,In
09:38:44,1,Out
09:40:54,1,In
09:40:54,2,In
09:41:46,1,In
09:41:46,2,In
09:42:31,1,Out
09:43:41,1,Out
09:44:20,1,Out
09:44:20,2,Out
09:46:07,2,In
09:47:37,1,In
09:48:06,1,Out
09:48:34,1,Out
09:50:13,1,Out
09:51:02,1,In
09:51:02,2,Out
09:51:31,1,In
09:52:12,2,Out
09:53:49,1,In
09:54:14,1,Out
